абажур,ɐbɐˈʐur
потребность,pɐˈtrʲɛbnəsʲtʲ
публичный,pʊˈblʲɪt͡ʂnɨj
пользоваться,ˈpolʲzəvət͡sə
позволить,pɐzˈvɔlʲɪtʲ
половина,pɐlɐˈvʲinə
потому что,pɐtɐˈmu ˈʂtɔ
погрузить,pəɡrʊˈzʲitʲ
проводить,prəvɐˈdʲitʲ
плохо,ˈplɔxə
погрузка,pəˈɡruskə
проектировать,prɐɪɛkˈtʲɪrɐvətʲ
поглотить,pəɡlɐˈtʲitʲ
психический,psɪˈxʲɪt͡ʂɨkɪj
постоянный,pəstɐˈjænɨj
программировать,prəɡræˈmʲirəvətʲ
проверить,prɐˈvʲɛrɪtʲ
попробовать,pɐˈprɔbəvətʲ
пара,ˈparə
площадка,ˈploɕːɪtkə
проблема,prɐˈblʲɛmə
пожилой,pɐʐɨˈloj
потерять,pɐtʲɪˈrʲatʲ
проводник,prəvɐˈdʲnik
пожертвовать,pɐˈʐɛrtvʊvətʲ
пойти,pɐjˈtʲi
пыль,pɨlʲ
песня,ˈpʲesnʲə
пожарный,pɐˈʐarnɨj
попытка,pɐˈpɨtkə
погрешность,pɐˈɡrʲeʂnəsʲtʲ
погружение,pəɡrʊˈʐenʲɪjə
поток,pɐˈtok
поездка,ˈpoɪɪzdkə
повседневный,pəfsʲɪˈdʲɛvnɨj
параллельный,pɐrɐˈlʲɛlnɨj
покидать,pɐkʲɪˈdatʲ
потратить,pɐˈtratʲɪtʲ
поступление,pɐstʊˈplʲenʲɪjə
проблематичный,prɐblʲɪˈmʲætʲɪt͡ʂnɨj
погрузка,pəˈɡruskə
пожилой,pɐʐɨˈloj
профессия,prəˈfʲɛsʲɪjə
проводить,prəvɐˈdʲitʲ
построить,pɐˈstroɪtʲ
пункт,pʊŋkt
придумать,prʲɪˈdʊmatʲ
публичный,pʊˈblʲɪt͡ʂnɨj
повторение,pɐfˈtɔrʲɪnʲɪjə
платить,plɐˈtʲitʲ
потому что,pɐtɐˈmu ˈʂtɔ
профессионал,prəfʲɪsʲɪˈɐnəl
поставить,pɐˈstavʲɪtʲ
прикоснуться,prʲɪkɐˈsnʲut͡sə
поиск,ˈpoɪɪsk
плавать,ˈplavətʲ
повседневный,pəfsʲɪˈdʲɛvnɨj
показатель,pɐkɐˈzatʲɪlʲ
прощение,prɐˈɕːenʲɪjə
пикник,ˈpʲiknʲɪk
поступить,pɐstʊˈpʲitʲ
помочь,pɐˈmoʂʲ
проведение,prəvʲɪˈdʲenʲɪjə
поручение,pɐrʊˈt͡ɕenʲɪjə
платформа,plətˈfɔrmə
поставить,pɐˈstavʲɪtʲ
поставка,pɐˈstavkə
поглощение,pəɡlɐˈʂenʲɪjə
придать,prʲɪˈdatʲ
психолог,psɪˈxolək
период,pʲɪˈrʲijət
потенциал,pətʲɪnʲɪˈt͡sial
признак,ˈprʲiznək
прибыль,ˈprʲɪbɨlʲ
покрытие,pɐˈkrɨtʲɪjə
проводка,prəˈvɔtkə
периферия,pʲɪrʲɪˈfʲɛrʲɪjə
победа,pɐˈbʲɛdə
профессор,prɐˈfʲɛsər
прибавить,prʲɪˈbavʲɪtʲ
попасть,pɐˈpastʲ
показывать,pɐˈkazɨvətʲ
площадь,ˈploɕːɪtʲ
поток,pɐˈtok
положить,pɐˈlɐʐɨtʲ
профессиональный,prəfʲɪsʲɪˈalʲnɨj
путевка,pʊˈtʲefkə
поворот,pəvɐˈrot
покупка,pɐˈkupkə
поступить,pɐstʊˈpʲitʲ
программист,prəɡrɐˈmʲist
положить,pɐˈlɐʐɨtʲ
предел,prʲɪˈdʲel
поймать,pɐɪˈmatʲ
потенциал,pətʲɪnʲɪˈt͡sial
планета,plɐˈnʲetə
печатать,pʲɪˈt͡satʲ
перевод,pʲɪrʲɪˈvot
перестроить,pʲɪrʲɪˈstroɪtʲ
плавать,ˈplavətʲ
пожарный,pɐˈʐarnɨj
погода,pɐˈɡodə
показывать,pɐˈkazɨvətʲ
пошаговый,pɐˈʂaɡəvɨj
подарок,pɐˈdarək
площадка,ˈploɕːɪtkə
поклон,pɐˈklon
психология,psɪxɐˈloɡʲɪjə
песня,ˈpʲesnʲə
попросить,pɐprɐˈsʲitʲ
пункт,pʊŋkt
поток,pɐˈtok
победа,pɐˈbʲɛdə
профессор,prɐˈfʲɛsər
планирование,plɐnʲɪˈrovəɲɪjə
пейзаж,pɨˈzaʐ
проверка,prɐˈvʲɛrkə
постепенно,pɐstʲɪˈpʲɛnnə
поздно,ˈpozdnə
потратить,pɐˈtratʲɪtʲ
поблагодарить,pɐblɐɡədɐˈrʲitʲ
платить,plɐˈtʲitʲ
появиться,pɐɪˈvʲɪt͡sə
поставить,pɐˈstavʲɪtʲ
потемнеть,pətʲɪˈmʲnʲetʲ
потеря,pɐˈtʲerʲə
побеждать,pəbʲɪˈʐdatʲ
передача,pʲɪrʲɪˈdatʂə
поглощение,pəɡlɐˈʂenʲɪjə
первичный,pʲɪrˈvʲɪt͡ʂnɨj
пожилой,pɐʐɨˈloj
пригласить,prʲɪɡlɐˈsʲitʲ
привлечение,prʲɪvlʲɪˈt͡ɕenʲɪjə
планировать,plɐˈnʲɪrɐvətʲ
промежуток,prəmɪˈʐutək
переход,pʲɪrʲɪˈxod
позвонить,pəzvɐˈnʲitʲ
проверить,prɐˈvʲɛrʲɪtʲ
платформа,plətˈfɔrmə
первоначально,pʲɪrvəˈnat͡ɕalʲnə
проверка,prɐˈvʲɛrkə
покрасить,pɐˈkrasʲɪtʲ
попытка,pɐˈpɨtkə
производитель,prəɪzˈvɔdʲɪtʲəlʲ
психолог,psɪˈxolək
поздравление,pəzdrɐˈvlʲenʲɪjə
проведение,prəvʲɪˈdʲenʲɪjə
попутчик,pɐˈput͡ɕɪk
положение,pəɫɐˈʐenʲɪjə
пояснить,pɐɪˈsnʲitʲ
попрощаться,pəprɐˈɕːæt͡sə
полететь,pɐlʲɪˈtʲetʲ
покидать,pɐkʲɪˈdatʲ
поработать,pɐrɐˈbotətʲ
пустой,ˈpʊsːtoj
постоянный,pəstɐˈjænɨj
побочный,pɐˈbot͡ʂnɨj
провал,prəˈval
поздний,ˈpozdnʲɪj
практически,prɐkˈtʲɪt͡ʂɨskʲɪ
пожилой,pɐʐɨˈloj
порядок,pɐˈrʲadək
погрешность,pɐˈɡrʲeʂnəsʲtʲ
поток,pɐˈtok
педагог,pʲɪˈdʲæɡok
праздник,ˈprazdnʲɪk
потребитель,pɐtrʲɪˈbʲitʲɪlʲ
положительный,pɐlɐˈʐɨtʲɪlʲnɨj
пограничник,pɐɡrɐˈnʲit͡ʂnʲɪk
параллель,pɐrɐˈlʲɛlʲ
психотерапевт,psɪxətəˈrʲɛpt
периферия,pʲɪrʲɪˈfʲɛrʲɪjə
помощь,ˈpoməʂʲ
пластик,ˈplastʲɪk
поздно,ˈpozdnə
переход,pʲɪrʲɪˈxod
поздравить,pəzˈdravʲɪtʲ
поступление,pɐstʊˈplʲenʲɪjə
