Слово,Транскрипция
аукаться,ɐˈukət͡sə
аукнуть,ɐˈuknʊtʲ
аукнуться,ɐˈuknʊt͡sə
ауксанограф,ɐʊksɐˈnoɡrəf
ауксанометр,ɐʊksɐˈnomʲɪtr
ауксоспора,ɐʊksɐˈsporə
ауксотрофный,ɐʊksɐˈtrofnɨɪ̯
аукуба,ɐʊˈkubə
аукцион,ɐʊkt͡sɨˈon
аукционатор,ɐʊkt͡sɨɐˈnatər
аукционаторский,ɐʊkt͡sɨɐˈnatərskʲɪɪ̯
аукционаторство,ɐʊkt͡sɨɐˈnatərstvə
аукционер,ɐʊkt͡sɨɐˈnʲer
аукционист,ɐʊkt͡sɨɐˈnʲist
аукционный,ɐʊkt͡sɨˈonːɨɪ̯
аул,ɐˈuɫ
аульный,ɐˈulʲnɨɪ̯
аульский,ɐˈulʲskʲɪɪ̯
аура,ˈaʊrə
аургазинец,ɐʊrɡɐˈzʲinʲɪt͡s
аурелия,ɐʊˈrɛlʲɪɪ̯ə
ауреомицин,ɐʊrʲɪəmʲɪˈt͡sɨn
аурипигмент,ɐʊrʲɪpʲɪɡˈmʲent
аусвайс,ɐʊˈsvaɪ̯s
аускультативный,ɐʊskʊlʲtɐˈtʲivnɨɪ̯
аускультация,ɐʊskʊlʲˈtat͡sɨɪ̯ə
ауспиции,ɐʊˈspʲit͡sɨɪ̯ə
ауспиция,ɐʊˈspʲit͡sɨɪ̯ə
аустенит,ɐʊstɛˈnʲit
аустенитный,ɐʊstɛˈnʲitnɨɪ̯
аустерия,ɐʊˈstɛrʲɪɪ̯ə
аустерлицкий,ɐʊstɛrˈlʲit͡skʲɪɪ̯
аустраль,ɐʊˈstralʲ
аустрический,ɐʊˈstrʲit͡ɕɪskʲɪɪ̯
аустроазиатский,ɐʊstrɐɐzʲɪˈat͡skʲɪɪ̯
аут,ˈaʊt
аутбридинг,ɐʊdˈbrʲidʲɪnk
аутентификация,ɐʊtɛnʲtʲɪfʲɪˈkat͡sɨɪ̯ə
аутентический,ɐʊtɛnʲˈtʲit͡ɕɪskʲɪɪ̯
аутентично,ɐʊtɛnʲˈtʲit͡ɕnə
аутентичность,ɐʊtɛnʲˈtʲit͡ɕnəsʲtʲ
аутентичный,ɐʊtɛnʲˈtʲit͡ɕnɨɪ̯
аутизм,ɐʊˈtʲizm
аутичность,ɐʊˈtʲit͡ɕnəsʲtʲ
ауто,ˈaʊtə
аутоагглютинация,ˌaʊtɐɐɡlʲʉtʲɪˈnat͡sɨɪ̯ə
аутоагглютинин,ˌaʊtɐɐɡlʲʉtʲɪˈnʲin
аутоагрегация,ˌaʊtɐɐɡrʲɪˈɡat͡sɨɪ̯ə
аутоагрессивность,ˌaʊtɐɐɡrʲɪˈsʲivnəsʲtʲ
аутоагрессия,ˌaʊtɐɐˈɡrʲesʲ(ː)ɪɪ̯ə
аутоаллерген,ˌaʊtɐɐlʲɪrˈɡʲen
аутоаллергенный,ˌaʊtɐɐlʲɪrˈɡʲenːɨɪ̯
аутоаллергический,ˌaʊtɐɐlʲɪrˈɡʲit͡ɕɪskʲɪɪ̯
аутоаллергия,ˌaʊtɐɐlʲɪrˈɡʲiɪ̯ə
аутоампутация,ˌaʊtɐɐmpʊˈtat͡sɨɪ̯ə
аутоанализатор,ˌaʊtɐɐnəlʲɪˈzatər
аутоанамнез,ˌaʊtɐɐˈnamnɛs
аутоанафилаксия,ˌaʊtɐɐnəfʲɪɫɐˈksʲiɪ̯ə
аутоантагонизм,ˌaʊtɐɐntəɡɐˈnʲizm
аутоантиген,ˌaʊtɐɐnʲtʲɪˈɡʲen
аутоантигенный,ˌaʊtɐɐnʲtʲɪˈɡʲenːɨɪ̯
аутоантитело,ˌaʊtɐɐnʲtʲɪˈtʲeɫə
аутобактериофаг,ˌaʊtəbɐˌktʲerʲɪɐˈfak
аутобивалент,ˌaʊtəbʲɪvɐˈlʲent
аутовакцина,ˌaʊtəvɐkˈt͡sɨnə
аутовакцинация,ˌaʊtəvəkt͡sɨˈnat͡sɨɪ̯ə
аутовакцинотерапия,ˌaʊtəvɐkˌt͡sɨnətʲɪrɐˈpʲiɪ̯ə
аутогамия,ɐʊtɐˈɡamʲɪɪ̯ə
аутогамный,ɐʊtɐˈɡamnɨɪ̯
аутогемолизин,ˌaʊtəɡʲɪməlʲɪˈzʲin
аутогемотерапия,ˌaʊtɐˌɡʲemətʲɪrɐˈpʲiɪ̯ə
аутогемотрансфузия,ˌaʊtɐˌɡʲemətrɐnˈsfuzʲɪɪ̯ə
аутогенез,ˌaʊtəɡʲɪˈnɛs
аутогенетический,ˌaʊtəɡʲɪnɛˈtʲit͡ɕɪskʲɪɪ̯
аутогенный,ɐʊtɐˈɡʲenːɨɪ̯
аутогеномный,ˌaʊtəɡʲɪˈnomnɨɪ̯
аутография,ˌaʊtɐˈɡrafʲɪɪ̯ə
аутодафе,ɐʊtədɐˈfɛ
аутодермопластика,ˌaʊtədɛrmɐˈpɫasʲtʲɪkə
аутодифференциация,ˌaʊtədʲɪfʲɪrʲɪnt͡sɨˈat͡sɨɪ̯ə
аутодонорство,ˌaʊtɐˈdonərstvə
аутоидентификация,ˌaʊtəɪdɛnʲtʲɪfʲɪˈkat͡sɨɪ̯ə
аутоиммунизация,ˌaʊtəɪm(ː)ʊnʲɪˈzat͡sɨɪ̯ə
аутоиммунитет,ˌaʊtəɪm(ː)ʊnʲɪˈtʲet
аутоиммунность,ˌaʊtəɪˈm(ː)unːəsʲtʲ
аутоиммунный,ˌaʊtəɪˈm(ː)unːɨɪ̯
аутоинвазия,ˌaʊtəɪnˈvazʲɪɪ̯ə
аутоинокуляция,ˌaʊtəɪnəkʊˈlʲat͡sɨɪ̯ə
аутоинтоксикация,ˌaʊtəɪntəksʲɪˈkat͡sɨɪ̯ə
аутоинфекция,ˌaʊtəɪnˈfʲekt͡sɨɪ̯ə
аутокатализ,ˌaʊtəkɐˈtalʲɪs
аутокаталитический,ˌaʊtəkətəlʲɪˈtʲit͡ɕɪskʲɪɪ̯
аутокатетеризация,ˌaʊtəkətɛtɛrʲɪˈzat͡sɨɪ̯ə
аутокровь,ˌaʊtɐˈkrofʲ
аутолиз,ɐʊˈtolʲɪs
аутолизин,ɐʊtəlʲɪˈzʲin
аутологический,ɐʊtəɫɐˈɡʲit͡ɕɪskʲɪɪ̯
аутомиксис,ɐʊtɐˈmʲiksʲɪs
аутомобилизация,ˌaʊtəməbʲɪlʲɪˈzat͡sɨɪ̯ə
аутомутаген,ˌaʊtəmʊtɐˈɡʲen
аутомутация,ˌaʊtəmʊˈtat͡sɨɪ̯ə
аутооксидация,ˌaʊtɐɐksʲɪˈdat͡sɨɪ̯ə
аутоориентация,ˌaʊtɐɐrʲɪ(ɪ̯)ɪnˈtat͡sɨɪ̯ə
аутоофтальмоскоп,ˌaʊtɐɐftəlʲmɐˈskop
аутоофтальмоскопия,ˌaʊtɐɐftəlʲməskɐˈpʲiɪ̯ə
аутопептид,ˌaʊtəpʲɪˈptʲit
аутоперфузия,ˌaʊtəpʲɪrˈfuzʲɪɪ̯ə
аутопластика,ˌaʊtɐˈpɫasʲtʲɪkə
аутополиплоид,ˌaʊtəpəlʲɪˈpɫoɪt
аутополиплоидия,ˌaʊtəpəlʲɪpɫəɪˈdʲiɪ̯ə
аутопротромбин,ˌaʊtəprətrɐm⁽ʲ⁾ˈbʲin
аутопсихоз,ˌaʊtəpsʲɪˈxos
аутопсихотерапия,ˌaʊtəpsʲɪxətʲɪrɐˈpʲiɪ̯ə
аутопсия,ɐʊtɐˈpsʲiɪ̯ə
ауторадиограмма,ˌaʊtərədʲɪɐˈɡram(ː)ə
ауторадиограф,ˌaʊtərədʲɪˈoɡrəf
ауторадиография,ˌaʊtərədʲɪɐˈɡrafʲɪɪ̯ə
аутореактивность,ˌaʊtərʲɪɐˈktʲivnəsʲtʲ
ауторегуляция,ˌaʊtərʲɪɡʊˈlʲat͡sɨɪ̯ə
ауторелаксация,ˌaʊtərʲɪɫɐˈksat͡sɨɪ̯ə
ауторепарация,ˌaʊtərʲɪpɐˈrat͡sɨɪ̯ə
ауторепликация,ˌaʊtərʲɪplʲɪˈkat͡sɨɪ̯ə
ауторепродуктивный,ˌaʊtərʲɪprədʊˈktʲivnɨɪ̯
ауторепродукция,ˌaʊtərʲɪprɐˈdukt͡sɨɪ̯ə
ауторецептор,ˌaʊtərʲɪˈt͡sɛptər
аутосенсибилизация,ˌaʊtəsʲɪn⁽ʲ⁾sʲɪbʲɪlʲɪˈzat͡sɨɪ̯ə
аутосеротерапия,ˌaʊtɐˌsʲerətʲɪrɐˈpʲiɪ̯ə
аутосинапс,ˌaʊtɐˈsʲinəps
аутоскоп,ɐʊtɐˈskop
аутоскопия,ˌaʊtəskɐˈpʲiɪ̯ə
аутосома,ɐʊtɐˈsomə
аутостимуляция,ˌaʊtəsʲtʲɪmʊˈlʲat͡sɨɪ̯ə
аутосуггестия,ˌaʊtəsʊˈɡʲesʲtʲɪɪ̯ə
аутотерапия,ˌaʊtətʲɪrɐˈpʲiɪ̯ə
аутотолерантность,ˌaʊtətəlʲɪˈrantnəsʲtʲ
аутотомия,ɐʊtɐˈtomʲɪɪ̯ə
аутотрансплантат,ˌaʊtətrənspɫɐnˈtat
аутотрансплантация,ˌaʊtətrənspɫɐnˈtat͡sɨɪ̯ə
аутотрансфузия,ˌaʊtətrɐnˈsfuzʲɪɪ̯ə
аутотренинг,ˌaʊtɐˈtrʲenʲɪnk
аутотроф,ɐʊtɐˈtrof
аутотрофный,ɐʊtɐˈtrofnɨɪ̯
аутотрофы,ɐʊtɐˈtrof
аутофилия,ɐʊtəfʲɪˈlʲiɪ̯ə
аутоцитолиз,ˌaʊtət͡sɨˈtolʲɪs
аутоцитолизин,ˌaʊtət͡sɨtəlʲɪˈzʲin
аутоэкология,ˌaʊtəɛkɐˈɫoɡʲɪɪ̯ə
аутоэпиляция,ˌaʊtəɛpʲɪˈlʲat͡sɨɪ̯ə
